ortho,lemme
baiserai,baiser
baiseraient,baiser
baiserais,baiser
baiserait,baiser
baiseras,baiser
baiserez,baiser
baiseriez,baiser
baiserons,baiser
baiseront,baiser
baises,baiser
baisez,baiser
baisiez,baiser
baisions,baiser
baisons,baiser
baisèrent,baiser
baisé,baiser
baisée,baiser
baisées,baiser
baisés,baiser
complet,complet
complets,complet
complète,complet
complètes,complet
dépit,dépit
menace,menace
menaces,menace
chagrin,chagrin
chagrins,chagrin
paille,paille
pailles,paille
cheminée,cheminée
cheminées,cheminée
dérange,déranger
dérangea,déranger
dérangeaient,déranger
dérangeais,déranger
dérangeait,déranger
dérangeant,déranger
dérangeassent,déranger
dérangent,déranger
dérangeons,déranger
déranger,déranger
dérangera,déranger
dérangerai,déranger
dérangeraient,déranger
dérangerais,déranger
dérangerait,déranger
dérangeras,déranger
dérangerez,déranger
dérangerons,déranger
déranges,déranger
dérangez,déranger
dérangeât,déranger
dérangiez,déranger
dérangions,déranger
dérangé,déranger
dérangée,déranger
dérangées,déranger
dérangés,déranger
parc,parc
parcs,parc
respect,respect
respects,respect
quarante,quarante
rasa,raser
rasai,raser
rasaient,raser
rasais,raser
rasait,raser
rasant,raser
rase,raser
rasent,raser
raser,raser
rasera,raser
raserai,raser
raserais,raser
raserait,raser
raseras,raser
raserez,raser
raseront,raser
rases,raser
rasez,raser
rasiez,raser
rasons,raser
rasèrent,raser
rasé,raser
rasée,raser
rasées,raser
rasés,raser
secrétaire,secrétaire
secrétaires,secrétaire
gendarme,gendarme
gendarmes,gendarme
rivière,rivière
rivières,rivière
automne,automne
automnes,automne
failli,faillir
faillir,faillir
faillirai,faillir
faillirent,faillir
faillis,faillir
faillit,faillir
faillîmes,faillir
repos,repos
septembre,septembre
séjour,séjour
séjours,séjour
demi,demi
demie,demi
demies,demi
demis,demi
division,division
divisions,division
solution,solution
solutions,solution
utilisa,utiliser
utilisai,utiliser
utilisaient,utiliser
utilisais,utiliser
utilisait,utiliser
utilisant,utiliser
utilise,utiliser
utilisent,utiliser
utiliser,utiliser
utilisera,utiliser
utiliserai,utiliser
utiliseraient,utiliser
utiliserais,utiliser
utiliserait,utiliser
utiliseras,utiliser
utiliserez,utiliser
utiliseriez,utiliser
utiliserions,utiliser
utiliserons,utiliser
utiliseront,utiliser
utilises,utiliser
utilisez,utiliser
utilisiez,utiliser
utilisions,utiliser
utilisons,utiliser
utilisât,utiliser
utilisèrent,utiliser
utilisé,utiliser
utilisée,utiliser
utilisées,utiliser
utilisés,utiliser
parfait,parfait
parfaite,parfait
parfaites,parfait
parfaits,parfait
voyageur,voyageur
voyageurs,voyageur
voyageuse,voyageur
voyageuses,voyageur
blessa,blesser
blessaient,blesser
blessais,blesser
blessait,blesser
blessant,blesser
blesse,blesser
blessent,blesser
blesser,blesser
blessera,blesser
blesserai,blesser
blesseraient,blesser
blesserais,blesser
blesserait,blesser
blesseras,blesser
blesserez,blesser
blesseriez,blesser
blesserons,blesser
blesseront,blesser
blesses,blesser
blessez,blesser
blessiez,blesser
blessât,blesser
blessèrent,blesser
blessé,blesser
blessée,blesser
blessées,blesser
blessés,blesser
jailli,jaillir
jaillie,jaillir
jaillies,jaillir
jaillir,jaillir
jaillira,jaillir
jailliraient,jaillir
jaillirait,jaillir
jaillirent,jaillir
jailliront,jaillir
jaillis,jaillir
jaillissaient,jaillir
jaillissait,jaillir
jaillissant,jaillir
jaillisse,jaillir
jaillissent,jaillir
jaillit,jaillir
jaillît,jaillir
texte,texte
textes,texte
afin de,afin de
malade,malade
malades,malade
lesquelles,lesquelles
lesquelles,lesquelles
marbre,marbre
marbres,marbre
vers,vers
usine,usine
usines,usine
prétexte,prétexte
prétextes,prétexte
alcool,alcool
alcools,alcool
cadre,cadre
cadres,cadre
extraordinaire,extraordinaire
extraordinaires,extraordinaire
poignet,poignet
poignets,poignet
soigna,soigner
soignai,soigner
soignaient,soigner
soignais,soigner
soignait,soigner
soignant,soigner
soigne,soigner
soignent,soigner
soigner,soigner
soignera,soigner
soignerai,soigner
soigneraient,soigner
soignerais,soigner
soignerait,soigner
soigneras,soigner
soignerez,soigner
soignerons,soigner
soigneront,soigner
soignes,soigner
soignez,soigner
soigniez,soigner
soignons,soigner
soignèrent,soigner
soigné,soigner
soignée,soigner
soignées,soigner
soignés,soigner
statue,statue
statues,statue
saint,saint
sainte,saint
saintes,saint
saints,saint
solide,solide
solides,solide
inscrira,inscrire
inscrirai,inscrire
inscriraient,inscrire
inscrirais,inscrire
inscrirait,inscrire
inscriras,inscrire
inscrire,inscrire
inscris,inscrire
inscrit,inscrire
inscrite,inscrire
inscrites,inscrire
inscrits,inscrire
inscrivaient,inscrire
inscrivais,inscrire
inscrivait,inscrire
inscrivant,inscrire
inscrive,inscrire
inscrivent,inscrire
inscrivez,inscrire
inscrivirent,inscrire
inscrivis,inscrire
inscrivit,inscrire
inscrivons,inscrire
là-haut,là-haut
priva,priver
privai,priver
privaient,priver
privais,priver
privait,priver
privant,priver
privasse,priver
prive,priver
privent,priver
priver,priver
privera,priver
priverai,priver
priveraient,priver
priverais,priver
priverait,priver
priveras,priver
priveriez,priver
prives,priver
privez,priver
priviez,priver
privions,priver
privons,priver
privât,priver
privèrent,priver
privé,priver
privée,priver
privées,priver
privés,priver
renverra,renvoyer
renverrai,renvoyer
renverraient,renvoyer
renverrais,renvoyer
renverrait,renvoyer
renverras,renvoyer
renverrez,renvoyer
renverrions,renvoyer
renverrons,renvoyer
renverront,renvoyer
renvoie,renvoyer
renvoient,renvoyer
renvoies,renvoyer
renvoya,renvoyer
renvoyai,renvoyer
renvoyaient,renvoyer
renvoyais,renvoyer
renvoyait,renvoyer
renvoyant,renvoyer
renvoyer,renvoyer
renvoyez,renvoyer
renvoyiez,renvoyer
renvoyions,renvoyer
renvoyons,renvoyer
renvoyât,renvoyer
renvoyèrent,renvoyer
renvoyé,renvoyer
renvoyée,renvoyer
renvoyées,renvoyer
renvoyés,renvoyer
fièvre,fièvre
fièvres,fièvre
immédiatement,immédiatement
une,une
brume,brume
brumes,brume
message,message
messages,message
ange,ange
anges,ange
zone,zone
zones,zone
coiffa,coiffer
coiffai,coiffer
coiffaient,coiffer
coiffais,coiffer
coiffait,coiffer
coiffant,coiffer
coiffe,coiffer
coiffent,coiffer
coiffer,coiffer
coiffera,coiffer
coifferais,coiffer
coifferait,coiffer
coifferas,coiffer
coifferont,coiffer
coiffes,coiffer
coiffez,coiffer
coiffiez,coiffer
coiffât,coiffer
coiffèrent,coiffer
coiffé,coiffer
coiffée,coiffer
coiffées,coiffer
coiffés,coiffer
millier,millier
milliers,millier
roue,roue
roues,roue
auto,auto
autos,auto
merci,merci
trace,tracer
tracent,tracer
tracer,tracer
tracera,tracer
tracerez,tracer
tracerons,tracer
traces,tracer
tracez,tracer
tracions,tracer
tracèrent,tracer
tracé,tracer
tracée,tracer
tracées,tracer
tracés,tracer
traça,tracer
traçai,tracer
traçaient,tracer
traçais,tracer
traçait,tracer
traçant,tracer
traçons,tracer
traçât,tracer
coupe,coupe
coupes,coupe
désordre,désordre
désordres,désordre
disque,disque
disques,disque
miracle,miracle
miracles,miracle
rougi,rougir
rougie,rougir
rougies,rougir
rougir,rougir
rougira,rougir
rougiraient,rougir
rougirais,rougir
rougirait,rougir
rougirent,rougir
rougirez,rougir
rougis,rougir
rougissaient,rougir
rougissais,rougir
rougissait,rougir
rougissant,rougir
rougisse,rougir
rougissent,rougir
rougissez,rougir
rougit,rougir
rougît,rougir
chant,chant
chants,chant
perce,percer
percent,percer
percer,percer
percera,percer
percerai,percer
percerait,percer
percerez,percer
percez,percer
percions,percer
percèrent,percer
percé,percer
percée,percer
percées,percer
percés,percer
perça,percer
perçaient,percer
perçais,percer
perçait,percer
perçant,percer
perçons,percer
perçât,percer
ôta,ôter
ôtai,ôter
ôtaient,ôter
ôtais,ôter
ôtait,ôter
ôtant,ôter
ôte,ôter
ôtent,ôter
ôter,ôter
ôtera,ôter
ôterai,ôter
ôterais,ôter
ôterait,ôter
ôteras,ôter
ôterez,ôter
ôterions,ôter
ôtes,ôter
ôtez,ôter
ôtiez,ôter
ôtons,ôter
ôtât,ôter
ôtèrent,ôter
ôté,ôter
ôtée,ôter
ôtées,ôter
ôtés,ôter
auteur,auteur
auteure,auteur
auteurs,auteur
bête,bête
bêtes,bête
certitude,certitude
certitudes,certitude
désert,désert
déserts,désert
période,période
périodes,période
tabac,tabac
tabacs,tabac
cage,cage
cages,cage
centaine,centaine
centaines,centaine
fonce,foncer
foncent,foncer
foncer,foncer
foncera,foncer
foncerai,foncer
fonceraient,foncer
foncerais,foncer
foncerait,foncer
foncerons,foncer
fonceront,foncer
fonces,foncer
foncez,foncer
fonciez,foncer
foncions,foncer
foncèrent,foncer
foncé,foncer
foncée,foncer
foncées,foncer
foncés,foncer
fonça,foncer
fonçai,foncer
fonçaient,foncer
fonçais,foncer
fonçait,foncer
fonçant,foncer
fonçons,foncer
lutte,lutte
luttes,lutte
presse,presse
presses,presse
vision,vision
visions,vision
chaud,chaud
gai,gai
gaie,gai
gaies,gai
gais,gai
carreau,carreau
carreaux,carreau
maréchal,maréchal
maréchale,maréchal
maréchaux,maréchal
moyen,moyen
moyenne,moyen
moyennes,moyen
moyens,moyen
auparavant,auparavant
revanche,revanche
revanches,revanche
total,total
totale,total
totales,total
totaux,total
veilla,veiller
veillai,veiller
veillaient,veiller
veillais,veiller
veillait,veiller
veillant,veiller
veille,veiller
veillent,veiller
veiller,veiller
veillera,veiller
veillerai,veiller
veillerais,veiller
veillerait,veiller
veilleras,veiller
veillerez,veiller
veillerons,veiller
veilleront,veiller
veilles,veiller
veillez,veiller
veillions,veiller
veillons,veiller
veillâmes,veiller
veillât,veiller
veillèrent,veiller
veillé,veiller
veillée,veiller
veillés,veiller
chasseresse,chasseur
chasseresses,chasseur
chasseur,chasseur
chasseurs,chasseur
chasseuse,chasseur
comptoir,comptoir
comptoirs,comptoir
planche,planche
planches,planche
trahi,trahir
trahie,trahir
trahies,trahir
trahir,trahir
trahira,trahir
trahirai,trahir
trahiraient,trahir
trahirais,trahir
trahirait,trahir
trahiras,trahir
trahirent,trahir
trahirez,trahir
trahiriez,trahir
trahirons,trahir
trahiront,trahir
trahis,trahir
trahissaient,trahir
trahissais,trahir
trahissait,trahir
trahissant,trahir
trahisse,trahir
trahissent,trahir
trahissez,trahir
trahissiez,trahir
trahissions,trahir
trahissons,trahir
trahit,trahir
volet,volet
volets,volet
filet,filet
filets,filet
baigna,baigner
baignai,baigner
baignaient,baigner
baignais,baigner
baignait,baigner
baignant,baigner
baigne,baigner
baignent,baigner
baigner,baigner
baignera,baigner
baigneraient,baigner
baignerait,baigner
baignerons,baigner
baigneront,baigner
baignes,baigner
baignez,baigner
baignions,baigner
baignons,baigner
baignèrent,baigner
baigné,baigner
baignée,baigner
baignées,baigner
baignés,baigner
pli,pli
plis,pli
savoir,savoir
savoirs,savoir
enfer,enfer
enfers,enfer
imita,imiter
imitai,imiter
imitaient,imiter
imitais,imiter
imitait,imiter
imitant,imiter
imite,imiter
imitent,imiter
imiter,imiter
imitera,imiter
imiterai,imiter
imiteraient,imiter
imiterais,imiter
imiterait,imiter
imiteront,imiter
imites,imiter
imitez,imiter
imitiez,imiter
imitions,imiter
imitons,imiter
imitâmes,imiter
imitât,imiter
imitèrent,imiter
imité,imiter
imitée,imiter
imitées,imiter
imités,imiter
métro,métro
métros,métro
régulier,régulier
réguliers,régulier
régulière,régulier
régulières,régulier
aspect,aspect
aspects,aspect
barque,barque
barques,barque
charge,charge
charges,charge
chute,chute
chutes,chute
mienne,mienne
serré,serré
serrée,serré
serrées,serré
serrés,serré
précède,précéder
précèdent,précéder
précéda,précéder
précédai,précéder
précédaient,précéder
précédais,précéder
précédait,précéder
précédant,précéder
précédassent,précéder
précéder,précéder
précédera,précéder
précéderai,précéder
précéderaient,précéder
précéderait,précéder
précéderions,précéder
précédez,précéder
précédons,précéder
précédèrent,précéder
précédé,précéder
précédée,précéder
précédées,précéder
précédés,précéder
satisfaction,satisfaction
satisfactions,satisfaction
sou,sou
sous,sou
charmant,charmant
charmante,charmant
charmantes,charmant
charmants,charmant
hocha,hocher
hochai,hocher
hochaient,hocher
hochais,hocher
hochait,hocher
hochant,hocher
hoche,hocher
hochent,hocher
hocher,hocher
hocheraient,hocher
hocheront,hocher
hoches,hocher
hochez,hocher
hochions,hocher
hochèrent,hocher
hoché,hocher
piste,piste
pistes,piste
photographie,photographie
photographies,photographie
percevaient,percevoir
percevais,percevoir
percevait,percevoir
percevant,percevoir
percevez,percevoir
perceviez,percevoir
percevions,percevoir
percevoir,percevoir
percevons,percevoir
percevra,percevoir
percevrais,percevoir
percevrait,percevoir
percevrez,percevoir
perçois,percevoir
perçoit,percevoir
perçoive,percevoir
perçoivent,percevoir
perçu,percevoir
perçue,percevoir
perçues,percevoir
perçurent,percevoir
perçus,percevoir
perçut,percevoir
perçût,percevoir
réel,réel
réelle,réel
réelles,réel
réels,réel
transporta,transporter
transportai,transporter
transportaient,transporter
transportais,transporter
transportait,transporter
transportant,transporter
transporte,transporter
transportent,transporter
transporter,transporter
transportera,transporter
transporteraient,transporter
transporterais,transporter
transporterait,transporter
transporterons,transporter
transportez,transporter
transportiez,transporter
transportions,transporter
transportons,transporter
transportâmes,transporter
transportât,transporter
transportèrent,transporter
transporté,transporter
transportée,transporter
transportées,transporter
transportés,transporter
refaire,refaire
refais,refaire
refaisaient,refaire
refaisais,refaire
refaisait,refaire
refaisant,refaire
refaisions,refaire
refaisons,refaire
refait,refaire
refaite,refaire
refaites,refaire
refaits,refaire
refasse,refaire
refassent,refaire
refasses,refaire
refassiez,refaire
refera,refaire
referai,refaire
referais,refaire
referait,refaire
referas,refaire
referions,refaire
referons,refaire
referont,refaire
refirent,refaire
refis,refaire
refit,refaire
refont,refaire
refîmes,refaire
refît,refaire
bibliothèque,bibliothèque
bibliothèques,bibliothèque
sienne,sienne
volontiers,volontiers
frontière,frontière
frontières,frontière
secours,secours
balcon,balcon
balcons,balcon
inconnu,inconnu
inconnue,inconnu
inconnues,inconnu
inconnus,inconnu
putain,putain
putains,putain
rousse,roux
rousses,roux
roux,roux
sèche,sécher
sèchent,sécher
sèches,sécher
sécha,sécher
séchai,sécher
séchaient,sécher
séchais,sécher
séchait,sécher
séchant,sécher
sécher,sécher
séchera,sécher
sécherai,sécher
sécheraient,sécher
sécherais,sécher
sécherait,sécher
sécherez,sécher
sécheront,sécher
séchez,sécher
séchiez,sécher
séchions,sécher
séchons,sécher
séchât,sécher
séchèrent,sécher
séché,sécher
séchée,sécher
séchées,sécher
séchés,sécher
unité,unité
unités,unité
merveilleuse,merveilleux
merveilleuses,merveilleux
merveilleux,merveilleux
rigueur,rigueur
rigueurs,rigueur
glacé,glacé
glacée,glacé
glacées,glacé
glacés,glacé
russe,russe
russes,russe
vérifia,vérifier
vérifiai,vérifier
vérifiaient,vérifier
vérifiais,vérifier
vérifiait,vérifier
vérifiant,vérifier
vérifie,vérifier
vérifient,vérifier
vérifier,vérifier
vérifiera,vérifier
vérifierai,vérifier
vérifierais,vérifier
vérifierait,vérifier
vérifieras,vérifier
vérifierons,vérifier
vérifieront,vérifier
vérifies,vérifier
vérifiez,vérifier
vérifiions,vérifier
vérifions,vérifier
vérifièrent,vérifier
vérifié,vérifier
vérifiée,vérifier
vérifiées,vérifier
vérifiés,vérifier
étira,étirer
étirai,étirer
étiraient,étirer
étirais,étirer
étirait,étirer
étirant,étirer
étire,étirer
étirent,étirer
étirer,étirer
étirerait,étirer
étirez,étirer
étirèrent,étirer
étiré,étirer
étirée,étirer
étirées,étirer
étirés,étirer
décrira,décrire
décrirai,décrire
décriraient,décrire
décrirais,décrire
décrirait,décrire
décriras,décrire
décrire,décrire
décrirez,décrire
décririez,décrire
décriront,décrire
décris,décrire
décrit,décrire
décrite,décrire
décrites,décrire
décrits,décrire
décrivaient,décrire
décrivais,décrire
décrivait,décrire
décrivant,décrire
décrive,décrire
décrivent,décrire
décrives,décrire
décrivez,décrire
décriviez,décrire
décrivirent,décrire
décrivis,décrire
décrivit,décrire
net,net
nets,net
nette,net
nettes,net
promesse,promesse
promesses,promesse
siffla,siffler
sifflai,siffler
sifflaient,siffler
sifflais,siffler
sifflait,siffler
sifflant,siffler
siffle,siffler
sifflent,siffler
siffler,siffler
sifflera,siffler
sifflerai,siffler
siffleraient,siffler
sifflerait,siffler
siffleras,siffler
siffles,siffler
sifflez,siffler
siffliez,siffler
sifflèrent,siffler
sifflé,siffler
sifflée,siffler
sifflées,siffler
sifflés,siffler
retraite,retraite
retraites,retraite
beau,beau
belle,beau
belles,beau
demande,demande
demandes,demande
participa,participer
participai,participer
participaient,participer
participais,participer
participait,participer
participant,participer
participe,participer
participent,participer
participer,participer
participera,participer
participerai,participer
participeraient,participer
participerais,participer
participerait,participer
participeras,participer
participerez,participer
participerons,participer
participeront,participer
participes,participer
participez,participer
participiez,participer
participions,participer
participons,participer
participât,participer
participèrent,participer
participé,participer
participés,participer
prisonnier,prisonnier
prisonniers,prisonnier
prisonnière,prisonnier
prisonnières,prisonnier
regret,regret
regrets,regret
accusa,accuser
accusai,accuser
accusaient,accuser
accusais,accuser
accusait,accuser
accusant,accuser
accuse,accuser
accusent,accuser
accuser,accuser
accusera,accuser
accuseraient,accuser
accuserais,accuser
accuserait,accuser
accuserez,accuser
accuseriez,accuser
accuserions,accuser
accuserons,accuser
accuseront,accuser
accuses,accuser
accusez,accuser
accusiez,accuser
accusions,accuser
accusons,accuser
accusât,accuser
accusèrent,accuser
accusé,accuser
accusée,accuser
accusées,accuser
accusés,accuser
drame,drame
drames,drame
entièrement,entièrement
habituel,habituel
habituelle,habituel
habituelles,habituel
habituels,habituel
évidence,évidence
évidences,évidence
don,don
dons,don
goûta,goûter
goûtai,goûter
goûtaient,goûter
goûtais,goûter
goûtait,goûter
goûtant,goûter
goûte,goûter
goûtent,goûter
goûter,goûter
goûtera,goûter
goûterai,goûter
goûterais,goûter
goûterait,goûter
goûteras,goûter
goûterez,goûter
goûterons,goûter
goûteront,goûter
goûtes,goûter
goûtez,goûter
goûtiez,goûter
goûtions,goûter
goûtons,goûter
goûtâmes,goûter
goûtèrent,goûter
goûté,goûter
goûtée,goûter
goûtées,goûter
goûtés,goûter
mise,mise
mises,mise
plaine,plaine
régime,régime
régimes,régime
équilibre,équilibre
équilibres,équilibre
série,série
séries,série
fixe,fixe
fixes,fixe
rocher,rocher
rochers,rocher
affreuse,affreux
affreuses,affreux
affreux,affreux
dedans,dedans
déroula,dérouler
déroulai,dérouler
déroulaient,dérouler
déroulais,dérouler
déroulait,dérouler
déroulant,dérouler
déroule,dérouler
déroulent,dérouler
dérouler,dérouler
déroulera,dérouler
dérouleraient,dérouler
déroulerait,dérouler
dérouleront,dérouler
déroulez,dérouler
déroulions,dérouler
déroulât,dérouler
déroulèrent,dérouler
déroulé,dérouler
déroulée,dérouler
déroulées,dérouler
déroulés,dérouler
lumineuse,lumineux
lumineuses,lumineux
lumineux,lumineux
renversa,renverser
renversai,renverser
renversaient,renverser
renversais,renverser
renversait,renverser
renversant,renverser
renverse,renverser
renversent,renverser
renverser,renverser
renversera,renverser
renverserai,renverser
renverserais,renverser
renverserait,renverser
renverseras,renverser
renverseront,renverser
renverses,renverser
renversez,renverser
renversons,renverser
renversât,renverser
renversèrent,renverser
renversé,renverser
renversée,renverser
renversées,renverser
renversés,renverser
raide,raide
raides,raide
rattrapa,rattraper
rattrapai,rattraper
rattrapaient,rattraper
rattrapais,rattraper
rattrapait,rattraper
rattrapant,rattraper
rattrape,rattraper
rattrapent,rattraper
rattraper,rattraper
rattrapera,rattraper
rattraperai,rattraper
rattraperaient,rattraper
rattraperais,rattraper
rattraperait,rattraper
rattraperas,rattraper
rattraperez,rattraper
rattraperons,rattraper
rattraperont,rattraper
rattrapes,rattraper
rattrapez,rattraper
rattrapiez,rattraper
rattrapions,rattraper
rattrapons,rattraper
rattrapât,rattraper
rattrapèrent,rattraper
rattrapé,rattraper
rattrapée,rattraper
rattrapées,rattraper
rattrapés,rattraper
ruine,ruine
ruines,ruine
suspend,suspendre
suspendaient,suspendre
suspendais,suspendre
suspendait,suspendre
suspendant,suspendre
suspende,suspendre
suspendent,suspendre
suspendez,suspendre
suspendirent,suspendre
suspendit,suspendre
suspendons,suspendre
suspendra,suspendre
suspendrai,suspendre
suspendrait,suspendre
suspendre,suspendre
suspendrez,suspendre
suspendrons,suspendre
suspendront,suspendre
suspends,suspendre
suspendu,suspendre
suspendue,suspendre
suspendues,suspendre
suspendus,suspendre
suspendît,suspendre
égal,égal
égale,égal
égales,égal
égaux,égal
agent,agent
agente,agent
agents,agent
empara,emparer
emparai,emparer
emparaient,emparer
emparais,emparer
emparait,emparer
emparant,emparer
emparassent,emparer
empare,emparer
emparent,emparer
emparer,emparer
emparera,emparer
emparerai,emparer
empareraient,emparer
emparerais,emparer
emparerait,emparer
empareront,emparer
emparez,emparer
emparons,emparer
emparât,emparer
emparèrent,emparer
emparé,emparer
emparée,emparer
emparées,emparer
emparés,emparer
joui,jouir
jouir,jouir
jouira,jouir
jouirai,jouir
jouiraient,jouir
jouirait,jouir
jouiras,jouir
jouirent,jouir
jouirions,jouir
jouirons,jouir
jouis,jouir
jouissaient,jouir
jouissais,jouir
jouissait,jouir
jouissant,jouir
jouisse,jouir
jouissent,jouir
jouisses,jouir
jouissez,jouir
jouissions,jouir
jouissons,jouir
jouit,jouir
précieuse,précieux
précieuses,précieux
précieux,précieux
directement,directement
organisation,organisation
organisations,organisation
sécurité,sécurité
sécurités,sécurité
heurta,heurter
heurtai,heurter
heurtaient,heurter
heurtais,heurter
heurtait,heurter
heurtant,heurter
heurte,heurter
heurtent,heurter
heurter,heurter
heurtera,heurter
heurterai,heurter
heurteraient,heurter
heurterait,heurter
heurterions,heurter
heurtez,heurter
heurtions,heurter
heurtons,heurter
heurtât,heurter
heurtèrent,heurter
heurté,heurter
heurtée,heurter
heurtées,heurter
heurtés,heurter
ouais,ouais
mieux,mieux
activité,activité
activités,activité
mouilla,mouiller
mouillaient,mouiller
mouillais,mouiller
mouillait,mouiller
mouillant,mouiller
mouillasse,mouiller
mouille,mouiller
mouillent,mouiller
mouiller,mouiller
mouillera,mouiller
mouillerai,mouiller
mouillerais,mouiller
mouillerait,mouiller
mouilleras,mouiller
mouilleront,mouiller
mouilles,mouiller
mouillez,mouiller
mouillons,mouiller
mouillèrent,mouiller
mouillé,mouiller
mouillée,mouiller
mouillées,mouiller
mouillés,mouiller
principal,principal
principale,principal
principales,principal
principaux,principal
luxe,luxe
luxes,luxe
onze,onze
sensible,sensible
sensibles,sensible
bloc,bloc
blocs,bloc
bref,bref
gamin,gamin
gamine,gamin
gamines,gamin
gamins,gamin
lycée,lycée
lycées,lycée
télégramme,télégramme
télégrammes,télégramme
chapitre,chapitre
chapitres,chapitre
interminable,interminable
interminables,interminable
masque,masque
masques,masque
caillou,caillou
cailloux,caillou
casquette,casquette
casquettes,casquette
exact,exact
exacte,exact
exactes,exact
exacts,exact
meilleur,meilleur
meilleure,meilleur
meilleures,meilleur
meilleurs,meilleur
noie,noyer
noient,noyer
noiera,noyer
noierai,noyer
noieraient,noyer
noierait,noyer
noieras,noyer
noierez,noyer
noieront,noyer
noies,noyer
noya,noyer
noyaient,noyer
noyais,noyer
noyait,noyer
noyant,noyer
noyer,noyer
noyez,noyer
noyions,noyer
noyons,noyer
noyèrent,noyer
noyé,noyer
noyée,noyer
noyées,noyer
noyés,noyer
protesta,protester
protestai,protester
protestaient,protester
protestais,protester
protestait,protester
protestant,protester
proteste,protester
protestent,protester
protester,protester
protestera,protester
protesterai,protester
protesterais,protester
protesterait,protester
protesterons,protester
protestes,protester
protestez,protester
protestions,protester
protestons,protester
protestâmes,protester
protestât,protester
protestèrent,protester
protesté,protester
protestés,protester
redouta,redouter
redoutaient,redouter
redoutais,redouter
redoutait,redouter
redoutant,redouter
redoutasse,redouter
redoute,redouter
redoutent,redouter
redouter,redouter
redouterait,redouter
redouteras,redouter
redoutes,redouter
redoutez,redouter
redoutiez,redouter
redoutions,redouter
redoutons,redouter
redoutât,redouter
redoutèrent,redouter
redouté,redouter
redoutée,redouter
redoutées,redouter
redoutés,redouter
aveugle,aveugle
aveugles,aveugle
gratta,gratter
grattai,gratter
grattaient,gratter
grattais,gratter
grattait,gratter
grattant,gratter
gratte,gratter
grattent,gratter
gratter,gratter
grattera,gratter
gratterai,gratter
gratteraient,gratter
gratterait,gratter
gratterez,gratter
grattes,gratter
grattez,gratter
grattons,gratter
grattât,gratter
gratté,gratter
grattée,gratter
grattées,gratter
grattés,gratter
pointa,pointer
pointai,pointer
pointaient,pointer
pointais,pointer
pointait,pointer
pointant,pointer
pointe,pointer
pointent,pointer
pointer,pointer
pointera,pointer
pointerai,pointer
pointeraient,pointer
pointerais,pointer
pointerait,pointer
pointeras,pointer
pointerez,pointer
pointeront,pointer
pointes,pointer
pointez,pointer
pointiez,pointer
pointons,pointer
pointâmes,pointer
pointèrent,pointer
pointé,pointer
pointée,pointer
pointées,pointer
pointés,pointer
directeur,directeur
directeurs,directeur
directrice,directeur
directrices,directeur
défaut,défaut
défauts,défaut
empereur,empereur
empereurs,empereur
vertu,vertu
vertus,vertu
étudiant,étudiant
étudiante,étudiant
étudiantes,étudiant
étudiants,étudiant
lien,lien
liens,lien
résultat,résultat
résultats,résultat
tord,tordre
tordaient,tordre
tordais,tordre
tordait,tordre
tordant,tordre
torde,tordre
tordent,tordre
tordez,tordre
tordiez,tordre
tordirent,tordre
tordis,tordre
tordit,tordre
tordra,tordre
tordrai,tordre
tordraient,tordre
tordrais,tordre
tordrait,tordre
tordras,tordre
tordre,tordre
tordrez,tordre
tordront,tordre
tords,tordre
tordu,tordre
tordue,tordre
tordues,tordre
tordus,tordre
tordît,tordre
acteur,acteur
acteurs,acteur
actrice,acteur
actrices,acteur
entreprise,entreprise
entreprises,entreprise
indifférence,indifférence
indifférences,indifférence
consacra,consacrer
consacrai,consacrer
consacraient,consacrer
consacrais,consacrer
consacrait,consacrer
consacrant,consacrer
consacre,consacrer
consacrent,consacrer
consacrer,consacrer
consacrera,consacrer
consacrerai,consacrer
consacreraient,consacrer
consacrerais,consacrer
consacrerait,consacrer
consacreras,consacrer
consacrerez,consacrer
consacreriez,consacrer
consacrerions,consacrer
consacreront,consacrer
consacres,consacrer
consacrez,consacrer
consacriez,consacrer
consacrons,consacrer
consacrèrent,consacrer
consacré,consacrer
consacrée,consacrer
consacrées,consacrer
consacrés,consacrer
exposa,exposer
exposai,exposer
exposaient,exposer
exposais,exposer
exposait,exposer
exposant,exposer
expose,exposer
exposent,exposer
exposer,exposer
exposera,exposer
exposerai,exposer
exposerais,exposer
exposerait,exposer
exposerez,exposer
exposerions,exposer
exposeront,exposer
exposes,exposer
exposez,exposer
exposiez,exposer
exposons,exposer
exposâmes,exposer
exposèrent,exposer
exposé,exposer
exposée,exposer
exposées,exposer
exposés,exposer
fond,fondre
fondirent,fondre
fondis,fondre
fondit,fondre
fondra,fondre
fondrai,fondre
fondraient,fondre
fondrait,fondre
fondras,fondre
fondre,fondre
fondriez,fondre
fonds,fondre
fondu,fondre
fondue,fondre
fondues,fondre
fondus,fondre
fondît,fondre
huile,huile
huiles,huile
bière,bière
bières,bière
satisfaire,satisfaire
satisfais,satisfaire
satisfaisaient,satisfaire
satisfaisais,satisfaire
satisfaisait,satisfaire
satisfaisant,satisfaire
satisfait,satisfaire
satisfaite,satisfaire
satisfaites,satisfaire
satisfaits,satisfaire
satisfasse,satisfaire
satisfassent,satisfaire
satisfera,satisfaire
satisferai,satisfaire
satisferaient,satisfaire
satisferais,satisfaire
satisferait,satisfaire
